gene_id,gene,gene_biotype,product,go_function,go_process
ATU_RS00005,,,pyruvate,protein serine/threonine kinase activity|0004674||IEA,protein phosphorylation|0006468||IEA
ATU_RS00010,actR,,two-component system response regulator ActR,,
ATU_RS00015,,,shikimate dehydrogenase,shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA,shikimate metabolic process|0019632||IEA
ATU_RS00020,coaE,,dephospho-CoA kinase,dephospho-CoA kinase activity|0004140||IEA,coenzyme A biosynthetic process|0015937||IEA
ATU_RS00025,dnaQ,,DNA polymerase III subunit epsilon,DNA binding|0003677||IEA,DNA replication|0006260||IEA
ATU_RS00030,secB,,protein-export chaperone SecB,unfolded protein binding|0051082||IEA,protein transport|0015031||IEA
ATU_RS00035,,,FxsA family protein,,
ATU_RS00040,,,Tim44/TimA family putative adaptor protein,,
ATU_RS00045,,,murein transglycosylase A,,
ATU_RS00050,,,Smr/MutS family protein,,
ATU_RS00055,,,helix-turn-helix domain-containing protein,,
ATU_RS00060,gyrB,,DNA topoisomerase (ATP-hydrolyzing) subunit B,DNA topoisomerase type II (double strand cut,DNA topological change|0006265||IEA
ATU_RS00065,,,nitroreductase family protein,,
ATU_RS00070,,,fumarylacetoacetate hydrolase family protein,catalytic activity|0003824||IEA,
ATU_RS00075,,,polyhydroxyalkanoate depolymerase,,
ATU_RS00080,,,M48 family metallopeptidase,metal ion binding|0046872||IEA,
ATU_RS00085,,,phosphoribosylanthranilate isomerase,phosphoribosylanthranilate isomerase activity|0004640||IEA,tryptophan biosynthetic process|0000162||IEA
ATU_RS00090,trpB,,tryptophan synthase subunit beta,tryptophan synthase activity|0004834||IEA,tryptophan biosynthetic process|0000162||IEA
ATU_RS00095,trpA,,tryptophan synthase subunit alpha,tryptophan synthase activity|0004834||IEA,tryptophan biosynthetic process|0000162||IEA
ATU_RS00100,accD,,acetyl-CoA carboxylase,acetyl-CoA carboxylase activity|0003989||IEA,fatty acid biosynthetic process|0006633||IEA
ATU_RS00105,,,folylpolyglutamate synthase/dihydrofolate synthase family protein,tetrahydrofolylpolyglutamate synthase activity|0004326||IEA,one-carbon metabolic process|0006730||IEA
ATU_RS00110,trxA,,thioredoxin,disulfide oxidoreductase activity|0015036||IEA,
ATU_RS00115,addA,,double-strand break repair helicase AddA,,double-strand break repair via homologous recombination|0000724||IEA
ATU_RS00120,addB,,double-strand break repair protein AddB,,double-strand break repair via homologous recombination|0000724||IEA
ATU_RS00125,,,nucleotidyltransferase family protein,,
ATU_RS00130,,,bifunctional tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE/phosphotransferase,,
ATU_RS00135,,,PAS domain-containing sensor histidine kinase,,
ATU_RS00140,ahcY,,adenosylhomocysteinase,adenosylhomocysteinase activity|0004013||IEA,one-carbon metabolic process|0006730||IEA
ATU_RS00145,,,HPr family phosphocarrier protein,,
ATU_RS00150,,,PTS sugar transporter subunit IIA,kinase activity|0016301||IEA,carbohydrate transport|0008643||IEA
ATU_RS00155,,,HPr kinase/phosphorylase,,
ATU_RS00160,chvG,,two-component system sensor histidine kinase ChvG,,
ATU_RS00165,chvI,,two-component system response regulator ChvI,,
ATU_RS00170,,,phosphoenolpyruvate carboxykinase,phosphoenolpyruvate carboxykinase (ATP) activity|0004612||IEA,gluconeogenesis|0006094||IEA
ATU_RS00175,arfB,,alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB,translation release factor activity|0003747||IEA,translational termination|0006415||IEA
ATU_RS00180,coaA,,type I pantothenate kinase,pantothenate kinase activity|0004594||IEA,coenzyme A biosynthetic process|0015937||IEA
ATU_RS00185,,,phosphoribosyl-ATP diphosphatase,phosphoribosyl-ATP diphosphatase activity|0004636||IEA,histidine biosynthetic process|0000105||IEA
ATU_RS00190,hisF,,imidazole glycerol phosphate synthase subunit HisF,imidazoleglycerol-phosphate synthase activity|0000107||IEA,histidine biosynthetic process|0000105||IEA
ATU_RS00195,hisA,,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity|0003949||IEA,histidine biosynthetic process|0000105||IEA
ATU_RS00200,hisH,,imidazole glycerol phosphate synthase subunit HisH,imidazoleglycerol-phosphate synthase activity|0000107||IEA,histidine biosynthetic process|0000105||IEA
ATU_RS00205,,,DUF2628 domain-containing protein,,
ATU_RS00210,hisB,,imidazoleglycerol-phosphate dehydratase HisB,imidazoleglycerol-phosphate dehydratase activity|0004424||IEA,histidine biosynthetic process|0000105||IEA
ATU_RS00215,hslV,,ATP-dependent protease subunit HslV,threonine-type endopeptidase activity|0004298||IEA,proteolysis involved in protein catabolic process|0051603||IEA
ATU_RS00220,hslU,,ATP-dependent protease ATPase subunit HslU,ATP binding|0005524||IEA,
ATU_RS00225,,,DUF1402 family protein,,
ATU_RS00230,,,malate synthase G,malate synthase activity|0004474||IEA,glyoxylate cycle|0006097||IEA
ATU_RS00235,,,L,acyltransferase activity|0016746||IEA,peptidoglycan-protein cross-linking|0018104||IEA
ATU_RS00240,,,MmcB family DNA repair protein,,
ATU_RS00245,,,ActR/PrrA/RegA family redox response regulator transcription factor,,phosphorelay signal transduction system|0000160||IEA
ATU_RS00250,actS,,two-component system sensor histidine kinase ActS,,
ATU_RS00255,hrpB,,ATP-dependent helicase HrpB,helicase activity|0004386||IEA,nucleobase-containing compound metabolic process|0006139||IEA
ATU_RS00295,recQ,,DNA helicase RecQ,DNA helicase activity|0003678||IEA,DNA recombination|0006310||IEA
ATU_RS00300,,,ROK family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS00305,,,sugar ABC transporter substrate-binding protein,,
ATU_RS00310,,,ABC transporter permease,transmembrane transporter activity|0022857||IEA,carbohydrate transport|0008643||IEA
ATU_RS00315,,,ATP-binding cassette domain-containing protein,ATP binding|0005524||IEA,
ATU_RS00320,,,nucleoside triphosphate hydrolase,,
ATU_RS00325,nrdH,,glutaredoxin-like protein NrdH,,
ATU_RS00330,nrdI,,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,,deoxyribonucleotide biosynthetic process|0009263||IEA
ATU_RS00335,nrdE,,class 1b ribonucleoside-diphosphate reductase subunit alpha,ribonucleoside-diphosphate reductase activity,DNA replication|0006260||IEA
ATU_RS00340,nrdF,,class 1b ribonucleoside-diphosphate reductase subunit beta,ribonucleoside-diphosphate reductase activity,2'-deoxyribonucleotide biosynthetic process|0009265||IEA
ATU_RS00345,,,alpha/beta hydrolase,,
ATU_RS00350,recF,,DNA replication/repair protein RecF,single-stranded DNA binding|0003697||IEA,DNA repair|0006281||IEA
ATU_RS00355,,,molybdopterin-synthase adenylyltransferase MoeB,,Mo-molybdopterin cofactor biosynthetic process|0006777||IEA
ATU_RS00360,,,GNAT family N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS00365,,,hypothetical protein,,
ATU_RS00370,,,D-glycerate dehydrogenase,glycerate dehydrogenase activity|0008465||IEA,
ATU_RS00375,,,SH3 domain-containing protein,protein binding|0005515||IEA,
ATU_RS00380,,,adenosine kinase,,
ATU_RS00385,,,AEC family transporter,,transmembrane transport|0055085||IEA
ATU_RS00390,,,class I SAM-dependent methyltransferase,nucleic acid binding|0003676||IEA,
ATU_RS00395,pnp,,polyribonucleotide nucleotidyltransferase,polyribonucleotide nucleotidyltransferase activity|0004654||IEA,mRNA catabolic process|0006402||IEA
ATU_RS00400,rpsO,,30S ribosomal protein S15,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA
ATU_RS00405,truB,,tRNA pseudouridine(55) synthase TruB,pseudouridylate synthase activity|0004730||IEA,tRNA modification|0006400||IEA
ATU_RS00410,rbfA,,30S ribosome-binding factor RbfA,,rRNA processing|0006364||IEA
ATU_RS00415,infB,,translation initiation factor IF-2,translation initiation factor activity|0003743||IEA,translational initiation|0006413||IEA
ATU_RS00420,,,RNA-binding protein,,
ATU_RS00425,nusA,,transcription termination factor NusA,,DNA-templated transcription termination|0006353||IEA
ATU_RS00430,rimP,,ribosome maturation factor RimP,,
ATU_RS00435,,,MFS transporter,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA
ATU_RS00440,,,lytic murein transglycosylase,glycosyltransferase activity|0016757||IEA,peptidoglycan catabolic process|0009253||IEA
ATU_RS00445,recR,,recombination mediator RecR,,DNA repair|0006281||IEA
ATU_RS00450,,,MOSC domain-containing protein,catalytic activity|0003824||IEA,
ATU_RS00455,,,YbaB/EbfC family nucleoid-associated protein,DNA binding|0003677||IEA,biological_process|0008150||IEA
ATU_RS00460,,,DNA polymerase III subunit gamma/tau,DNA-directed DNA polymerase activity|0003887||IEA,DNA replication|0006260||IEA
ATU_RS00470,,,HIT domain-containing protein,S-adenosyl-L-methionine binding|1904047||IEA,
ATU_RS00475,nudC,,NAD(+) diphosphatase,NAD+ diphosphatase activity|0000210||IEA,
ATU_RS00480,,,prephenate dehydratase,prephenate dehydratase activity|0004664||IEA,L-phenylalanine biosynthetic process|0009094||IEA
ATU_RS00485,,,3-deoxy-manno-octulosonate cytidylyltransferase,3-deoxy-manno-octulosonate cytidylyltransferase activity|0008690||IEA,
ATU_RS00490,,,cytochrome c family protein,,
ATU_RS00495,,,sugar transferase,,
ATU_RS00500,,,transglycosylase domain-containing protein,glycosyltransferase activity|0016757||IEA,
ATU_RS00505,,,YbaK/EbsC family protein,,
ATU_RS00510,,,cold-shock protein,transcription antitermination factor activity,
ATU_RS00515,,,dipeptidase,hydrolase activity|0016787||IEA,
ATU_RS00520,,,MarR family winged helix-turn-helix transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS00525,,,hypothetical protein,,
ATU_RS00530,polA,,DNA polymerase I,nucleic acid binding|0003676||IEA,DNA-templated DNA replication|0006261||IEA
ATU_RS00535,,,DUF1868 domain-containing protein,,
ATU_RS00540,rpmF,,50S ribosomal protein L32,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA
ATU_RS00545,,,sensor histidine kinase,,
ATU_RS00550,,,sigma-54 dependent transcriptional regulator,ATP binding|0005524||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS00555,,,tripartite tricarboxylate transporter substrate-binding protein,,
ATU_RS00560,,,tripartite tricarboxylate transporter TctB family protein,transporter activity|0005215||IEA,
ATU_RS00565,,,tripartite tricarboxylate transporter permease,,
ATU_RS00570,,,SlyX family protein,,
ATU_RS00575,,,DUF924 family protein,,
ATU_RS00580,dnaJ,,molecular chaperone DnaJ,protein binding|0005515||IEA,protein folding|0006457||IEA
ATU_RS00585,dnaK,,molecular chaperone DnaK,ATP binding|0005524||IEA,protein folding|0006457||IEA
ATU_RS00595,,,hypothetical protein,,
ATU_RS00600,msrA,,peptide-methionine (S)-S-oxide reductase MsrA,peptide-methionine (S)-S-oxide reductase activity|0008113||IEA,response to oxidative stress|0006979||IEA
ATU_RS00605,,,BMP family protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS00610,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS00615,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS00620,,,ABC transporter permease,,
ATU_RS00625,,,cytidine deaminase,cytidine deaminase activity|0004126||IEA,cytidine deamination|0009972||IEA
ATU_RS00630,,,purine-nucleoside phosphorylase,purine-nucleoside phosphorylase activity|0004731||IEA,nucleoside metabolic process|0009116||IEA
