gene_id,gene,gene_biotype,product,go_function,go_process
BC_RS00005,dnaA,,chromosomal replication initiator protein DnaA,DNA binding|0003677||IEA;DNA replication origin binding|0003688||IEA;ATP binding|0005524||IEA,DNA replication initiation|0006270||IEA;regulation of DNA replication|0006275||IEA
BC_RS00010,dnaN,,DNA polymerase III subunit beta,DNA binding|0003677||IEA;DNA-directed DNA polymerase activity|0003887||IEA,DNA replication|0006260||IEA
BC_RS00015,yaaA,,S4 domain-containing protein YaaA,RNA binding|0003723||IEA,
BC_RS00020,recF,,DNA replication/repair protein RecF,single-stranded DNA binding|0003697||IEA;ATP binding|0005524||IEA,DNA repair|0006281||IEA
BC_RS00025,gyrB,,DNA topoisomerase (ATP-hydrolyzing) subunit B,DNA binding|0003677||IEA;DNA topoisomerase type II (double strand cut; ATP-hydrolyzing) activity|0003918||IEA;ATP binding|0005524||IEA,DNA topological change|0006265||IEA
BC_RS00030,gyrA,,DNA gyrase subunit A,DNA binding|0003677||IEA;DNA topoisomerase activity|0003916||IEA;DNA topoisomerase type II (double strand cut; ATP-hydrolyzing) activity|0003918||IEA;ATP binding|0005524||IEA,DNA metabolic process|0006259||IEA;DNA topological change|0006265||IEA
BC_RS00060,,,YaaC family protein,,
BC_RS00065,guaB,,IMP dehydrogenase,IMP dehydrogenase activity|0003938||IEA,purine nucleotide biosynthetic process|0006164||IEA
BC_RS00070,dacA,,D-alanyl-D-alanine carboxypeptidase DacA,,
BC_RS00075,pdxS,,pyridoxal 5'-phosphate synthase lyase subunit PdxS,catalytic activity|0003824||IEA,pyridoxal phosphate biosynthetic process|0042823||IEA
BC_RS00080,pdxT,,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT,,
BC_RS00085,serS,,serine--tRNA ligase,nucleotide binding|0000166||IEA;serine-tRNA ligase activity|0004828||IEA;ATP binding|0005524||IEA,seryl-tRNA aminoacylation|0006434||IEA
BC_RS00095,,,DUF3797 domain-containing protein,,
BC_RS00100,,,deoxynucleoside kinase,,
BC_RS00105,,,deoxynucleoside kinase,ATP binding|0005524||IEA;deoxynucleoside kinase activity|0019136||IEA,
BC_RS00110,,,isochorismatase family cysteine hydrolase,hydrolase activity|0016787||IEA,
BC_RS00115,tadA,,tRNA adenosine(34) deaminase TadA,tRNA-specific adenosine deaminase activity|0008251||IEA;zinc ion binding|0008270||IEA,tRNA wobble adenosine to inosine editing|0002100||IEA
BC_RS00125,dnaX,,DNA polymerase III subunit gamma/tau,DNA binding|0003677||IEA;DNA-directed DNA polymerase activity|0003887||IEA;ATP binding|0005524||IEA,DNA replication|0006260||IEA
BC_RS00130,,,YbaB/EbfC family nucleoid-associated protein,DNA binding|0003677||IEA,biological_process|0008150||IEA
BC_RS00135,recR,,recombination protein RecR,,
BC_RS00140,,,YaaL family protein,,
BC_RS00145,,,pro-sigmaK processing inhibitor BofA family protein,,
BC_RS00175,,,sigma factor G inhibitor Gin,,
BC_RS00180,,,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,pyridoxal phosphate binding|0030170||IEA,biosynthetic process|0009058||IEA
BC_RS00185,tmk,,dTMP kinase,thymidylate kinase activity|0004798||IEA;ATP binding|0005524||IEA,dTDP biosynthetic process|0006233||IEA
BC_RS00190,holB,,DNA polymerase III subunit delta',DNA-directed DNA polymerase activity|0003887||IEA;3'-5' exonuclease activity|0008408||IEA,DNA replication|0006260||IEA
BC_RS00195,,,PSP1 domain-containing protein,,
BC_RS00200,yabA,,DNA replication initiation control protein YabA,,DNA replication|0006260||IEA
BC_RS00205,,,tRNA1(Val) (adenine(37)-N6)-methyltransferase,N-methyltransferase activity|0008170||IEA;tRNA (adenine-N6)-methyltransferase activity|0016430||IEA;S-adenosyl-L-methionine binding|1904047||IEA,
BC_RS00210,,,GIY-YIG nuclease family protein,nuclease activity|0004518||IEA,
BC_RS00215,rsmI,,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,rRNA methyltransferase activity|0008649||IEA;S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,rRNA 2'-O-methylation|0000451||IEA
BC_RS00220,,,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,,
BC_RS00225,metG,,methionine--tRNA ligase,tRNA binding|0000049||IEA;methionine-tRNA ligase activity|0004825||IEA;ATP binding|0005524||IEA,methionyl-tRNA aminoacylation|0006431||IEA
BC_RS00230,,,TatD family hydrolase,hydrolase activity|0016787||IEA;metal ion binding|0046872||IEA,
BC_RS00235,rnmV,,ribonuclease M5,ribonuclease M5 activity|0043822||IEA,rRNA processing|0006364||IEA
BC_RS00240,rsmA,,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA,rRNA (adenine-N6;N6-)-dimethyltransferase activity|0000179||IEA,rRNA processing|0006364||IEA
BC_RS00245,yabG,,sporulation peptidase YabG,peptidase activity|0008233||IEA,asexual sporulation|0030436||IEA
BC_RS00250,,,biofilm formation stimulator Veg,,
BC_RS00255,,,small; acid-soluble spore protein; alpha/beta type,double-stranded DNA binding|0003690||IEA,DNA topological change|0006265||IEA
BC_RS00260,ispE,,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity|0050515||IEA,terpenoid biosynthetic process|0016114||IEA
BC_RS00265,purR,,pur operon repressor,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA;nucleoside metabolic process|0009116||IEA;negative regulation of DNA-templated transcription|0045892||IEA;negative regulation of purine nucleobase metabolic process|0045982||IEA
BC_RS00270,,,RidA family protein,,
BC_RS00275,spoVG,,septation regulator SpoVG,,sporulation resulting in formation of a cellular spore|0030435||IEA
BC_RS00280,glmU,,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,,
BC_RS00285,,,ribose-phosphate diphosphokinase,ribose phosphate diphosphokinase activity|0004749||IEA,ribonucleoside monophosphate biosynthetic process|0009156||IEA
BC_RS00290,pth,,aminoacyl-tRNA hydrolase,,
BC_RS00295,,,anti-sigma-F factor Fin family protein,,
BC_RS00300,mfd,,transcription-repair coupling factor,damaged DNA binding|0003684||IEA;ATP binding|0005524||IEA,DNA repair|0006281||IEA
BC_RS00305,spoVT,,stage V sporulation protein T,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA;asexual sporulation|0030436||IEA
BC_RS00310,,,putative polysaccharide biosynthesis protein,,
BC_RS00315,mazG,,nucleoside triphosphate pyrophosphohydrolase,,
BC_RS00320,,,RNA-binding S4 domain-containing protein,RNA binding|0003723||IEA,
BC_RS00325,yabP,,sporulation protein YabP,molecular_function|0003674||IEA,asexual sporulation|0030436||IEA
BC_RS00330,yabQ,,spore cortex biosynthesis protein YabQ,molecular_function|0003674||IEA,endospore formation|0034301||IEA
BC_RS00335,divIC,,cell division protein DivIC,,
BC_RS00340,,,S1 domain-containing RNA-binding protein,nucleic acid binding|0003676||IEA,
BC_RS00355,spoIIE,,stage II sporulation protein E,protein serine/threonine phosphatase activity|0004722||IEA,asexual sporulation|0030436||IEA
BC_RS00360,tilS,,tRNA lysidine(34) synthetase TilS,nucleotide binding|0000166||IEA;ATP binding|0005524||IEA;ligase activity; forming carbon-nitrogen bonds|0016879||IEA,tRNA processing|0008033||IEA
BC_RS00365,hpt,,hypoxanthine phosphoribosyltransferase,,purine ribonucleoside salvage|0006166||IEA
BC_RS00370,ftsH,,ATP-dependent zinc metalloprotease FtsH,,
BC_RS00375,,,type III pantothenate kinase,,
BC_RS00380,hslO,,redox-regulated molecular chaperone HslO,,
BC_RS00385,cysK,,cysteine synthase A,cysteine synthase activity|0004124||IEA,cysteine biosynthetic process from serine|0006535||IEA
BC_RS00390,pabB,,aminodeoxychorismate synthase component I,,
BC_RS00395,pabA,,aminodeoxychorismate/anthranilate synthase component II,,
BC_RS00400,pabC,,aminodeoxychorismate lyase,catalytic activity|0003824||IEA,
BC_RS00405,folP,,dihydropteroate synthase,dihydropteroate synthase activity|0004156||IEA,folic acid-containing compound biosynthetic process|0009396||IEA
BC_RS00410,folB,,dihydroneopterin aldolase,dihydroneopterin aldolase activity|0004150||IEA,folic acid-containing compound metabolic process|0006760||IEA
BC_RS00415,folK,,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity|0003848||IEA,folic acid-containing compound biosynthetic process|0009396||IEA
BC_RS00420,,,helix-turn-helix domain-containing protein,DNA binding|0003677||IEA,
